전출지별,전입지별,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
,,이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명),이동자수 (명)
서울특별시,경상남도,"8,409","10,001","11,263","15,193","16,771","23,150","22,400","27,393","28,697","30,183","29,205","28,795","28,250","30,485","27,988","25,792","26,002","26,970","26,801","24,189","24,216","21,999","21,546","19,398","17,887","19,306","19,061","12,855","13,340","13,690","11,741","12,100","12,290","13,827","12,973","14,076","14,510","16,015","15,438","15,303","15,689","16,039","14,474","14,447","14,799","15,220","13,717","12,692"
서울특별시,제주특별자치도,"1,039","1,325","1,617","2,456","2,261","3,440","3,623","3,551","3,937","4,261","4,828","5,229","5,276","6,373","5,671","5,445","5,123","5,330","5,627","5,894","6,364","6,319","5,829","5,014","4,536","5,256","5,413","5,500","6,207","6,171","5,198","5,186","5,567","5,458","5,695","5,648","5,828","5,518","5,473","5,332","5,714","6,133","6,954","7,828","9,031","10,434","10,465","10,404"
부산광역시,전국,"376,059","328,367","319,360","414,661","554,013","694,445","629,165","696,120","782,978","734,053","853,118","826,900","918,812","912,993","850,489","807,752","799,693","887,181","869,281","797,649","797,544","777,296","823,847","767,283","725,663","730,946","727,099","686,323","643,339","693,417","639,669","645,838","650,378","667,618","572,337","589,746","594,601","565,419","549,106","549,094","547,800","532,906","481,652","496,161","500,802","520,591","480,407","467,471"
부산광역시,서울특별시,"24,263","30,144","18,260","24,251","30,284","59,914","43,416","42,685","48,142","39,673","44,197","49,939","50,295","54,700","47,422","41,464","35,910","35,328","37,368","36,986","34,978","29,020","29,619","29,378","26,852","25,525","24,721","24,872","23,220","27,100","28,564","28,366","28,049","26,569","24,266","24,941","26,831","26,951","25,249","24,459","23,116","23,016","21,437","19,621","20,616","19,441","19,236","19,460"
부산광역시,부산광역시,"307,900","248,102","245,789","316,491","447,094","490,794","462,171","511,015","577,302","534,200","623,421","593,332","685,927","663,934","627,069","595,863","601,161","672,784","661,275","595,930","577,707","571,157","613,596","562,445","536,710","545,987","545,172","510,780","471,201","514,844","466,071","474,981","464,122","481,232","407,434","422,008","428,583","397,716","387,878","391,404","393,530","376,930","340,468","358,352","353,282","376,345","340,521","321,606"
부산광역시,대구광역시,-,-,-,-,-,-,-,-,-,-,-,"10,374","10,397","12,048","10,288","9,576","9,815","10,341","9,490","9,801","9,085","8,466","8,398","8,015","7,950","7,583","7,256","7,014","6,549","6,773","6,363","6,162","5,818","6,096","5,510","5,357","5,307","5,137","4,922","4,785","5,066","4,981","5,225","5,027","5,300","4,553","4,616","4,506"
부산광역시,인천광역시,-,-,-,-,-,-,-,-,-,-,-,"4,186","3,851","4,629","4,311","4,362","4,045","4,443","4,438","4,711","5,339","4,858","4,871","4,984","4,509","4,158","3,836","3,813","3,573","4,028","3,882","3,953","4,338","3,749","3,562","3,605","3,504","3,834","3,544","3,236","3,230","3,741","3,180","2,986","3,143","3,185","3,092","2,994"
부산광역시,광주광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,"2,069","2,207","2,255","2,734","2,815","2,710","2,416","2,523","2,313","1,981","1,844","1,715","1,794","1,942","1,640","1,564","1,492","1,429","1,354","1,200","1,203","1,351","1,300","1,244","1,338","1,329","1,430","1,047","1,856","1,195","1,100","1,073"
부산광역시,대전광역시,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,0,0,0,"2,692","3,308","3,262","3,598","3,536","3,316","3,068","3,074","2,937","3,356","3,107","3,012","2,865","2,869","2,776","2,513","2,391","2,590","3,121","2,513","2,305","2,266","2,511","2,436","2,125","2,150","2,209","2,211","2,159"
부산광역시,울산광역시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,"16,111","13,111","13,688","13,580","13,958","13,864","14,501","14,174","12,982","12,609","12,318","12,633","10,980","11,106","11,866","11,465","11,600","12,305","11,810","10,015","9,423"
부산광역시,세종특별자치시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,445,261,480,929,855,862
부산광역시,경기도,"6,350","6,543","4,788","7,364","6,589","15,314","10,705","11,070","12,268","12,261","14,026","10,618","11,943","15,103","13,736","14,248","15,045","16,365","15,939","16,318","17,246","16,648","15,955","17,273","16,396","17,014","16,897","17,298","16,630","20,332","20,758","20,771","21,729","21,256","20,339","21,037","21,814","21,659","19,062","18,810","19,961","20,127","17,454","15,931","16,623","16,441","16,401","15,837"
부산광역시,강원도,"2,090","2,291","2,062","2,356","2,291","5,100","4,485","4,877","5,563","5,145","7,019","6,654","6,469","5,985","5,148","5,604","4,631","4,498","3,969","4,156","4,178","3,732","3,664","3,626","3,155","3,135","3,223","3,258","3,447","3,255","2,812","2,882","2,639","2,902","2,855","2,430","2,364","2,496","2,452","2,378","2,569","2,548","2,130","2,158","2,085","2,305","2,104","2,221"
부산광역시,충청북도,"1,031","1,285","1,221","1,351","1,253","2,826","2,348","2,835","2,684","3,119","4,156","3,717","3,654","4,070","3,559","3,468","3,039","3,012","2,736","2,950","3,041","3,212","2,948","2,938","2,326","2,444","2,386","2,496","2,533","2,398","2,191","2,024","2,126","2,175","2,113","1,955","1,844","2,117","1,831","1,920","1,986","1,997","1,779","1,736","1,968","2,023","1,877","2,050"
부산광역시,충청남도,"1,901","1,994","1,801","2,255","2,212","6,467","4,149","4,584","5,656","4,526","5,827","5,644","5,361","6,103","5,891","6,087","5,241","5,584","5,413","2,841","2,909","2,826","2,480","2,582","2,508","2,982","3,850","3,757","3,450","3,508","3,110","2,997","3,337","3,748","4,774","3,752","3,635","3,741","3,744","3,738","3,893","3,758","3,334","2,909","3,664","3,164","3,160","3,242"
부산광역시,전라북도,"1,105","1,481","1,733","1,861","1,764","4,423","3,756","4,549","5,271","5,394","7,762","7,822","6,110","6,449","4,627","4,773","4,338","4,457","4,403","3,657","3,924","3,588","3,157","2,968","2,589","2,531","2,562","2,442","2,502","2,822","2,275","2,783","1,876","2,996","1,865","1,730","1,627","2,006","1,666","1,613","1,695","1,993","1,790","1,519","1,600","1,680","1,604","1,566"
부산광역시,전라남도,"2,613","3,034","3,446","3,996","4,139","11,486","11,509","12,931","15,505","15,853","19,130","18,688","16,872","17,573","16,590","16,248","12,821","12,980","11,226","11,212","11,530","9,872","8,754","8,156","6,559","6,469","6,192","6,059","7,106","7,334","5,600","5,465","4,406","4,920","3,917","3,683","3,710","3,818","3,640","3,887","3,545","3,743","3,379","3,367","3,277","3,586","3,380","3,269"
